日期,资金,企业代号,信誉评级,是否违约
129,-60717389.629999906,E1,A,否
131,-60717739.629999906,E1,A,否
132,-35492360.15999987,E1,A,否
133,-238071381.5199999,E1,A,否
134,-186998988.2199999,E1,A,否
135,-325500257.97999984,E1,A,否
136,-325503314.97999984,E1,A,否
137,-325503593.97999984,E1,A,否
139,-325503893.97999984,E1,A,否
140,-325504317.97999984,E1,A,否
141,-325504911.97999984,E1,A,否
142,-325505241.97999984,E1,A,否
146,-325505954.97999984,E1,A,否
147,-325506134.97999984,E1,A,否
148,-325571180.97999984,E1,A,否
149,-325574714.07999986,E1,A,否
150,-325204524.1699999,E1,A,否
153,-325208995.7899999,E1,A,否
154,-323911099.96999985,E1,A,否
155,-323911939.96999985,E1,A,否
156,-324534605.0599998,E1,A,否
157,-300977614.97999984,E1,A,否
158,-300977767.97999984,E1,A,否
159,-300981117.97999984,E1,A,否
160,-275365190.35999995,E1,A,否
161,-258750868.98999983,E1,A,否
162,-281913413.4799998,E1,A,否
163,-250403725.94999978,E1,A,否
164,-424258687.72999984,E1,A,否
165,-435950117.72999984,E1,A,否
167,-435950335.72999984,E1,A,否
168,-435950535.72999984,E1,A,否
169,-435953148.72999984,E1,A,否
171,-435953657.72999984,E1,A,否
172,-435956857.72999984,E1,A,否
174,-435957617.72999984,E1,A,否
175,-435960070.72999984,E1,A,否
176,-435960301.72999984,E1,A,否
177,-435960391.72999984,E1,A,否
178,-435960561.72999984,E1,A,否
179,-435961033.0099998,E1,A,否
181,-435962442.0099998,E1,A,否
182,-435649847.2699998,E1,A,否
184,-435651277.8699998,E1,A,否
185,-435652199.7699998,E1,A,否
187,-443796571.50000006,E1,A,否
188,-432981392.8700001,E1,A,否
189,-420077908.7500002,E1,A,否
190,-392876519.7400002,E1,A,否
191,-367032410.96000016,E1,A,否
192,-357235263.03000027,E1,A,否
194,-357235711.03000027,E1,A,否
195,-336394979.65000033,E1,A,否
196,-451949252.5300003,E1,A,否
197,-493581825.5300003,E1,A,否
198,-493582941.5300003,E1,A,否
199,-493626110.5300003,E1,A,否
200,-493626268.5300003,E1,A,否
201,-493630304.5300003,E1,A,否
202,-493630966.5300003,E1,A,否
203,-493590966.5300003,E1,A,否
204,-493591169.46000034,E1,A,否
205,-493591484.46000034,E1,A,否
209,-493592017.46000034,E1,A,否
210,-493593499.46000034,E1,A,否
211,-493593741.46000034,E1,A,否
214,-493595353.46000034,E1,A,否
215,-493595430.46000034,E1,A,否
216,-493595687.46000034,E1,A,否
218,-493596195.46000034,E1,A,否
219,-424867822.14000046,E1,A,否
220,-423670142.29000044,E1,A,否
221,-414756110.5400004,E1,A,否
222,-414756918.5400004,E1,A,否
223,-408799093.4600004,E1,A,否
224,-540520572.1400007,E1,A,否
225,-586246849.7100006,E1,A,否
226,-586714379.9800006,E1,A,否
227,-586726956.9800006,E1,A,否
229,-586727341.9800006,E1,A,否
230,-586746705.9800006,E1,A,否
231,-586747272.9800006,E1,A,否
232,-586711050.7200005,E1,A,否
233,-586712300.7200005,E1,A,否
234,-586721294.7200005,E1,A,否
235,-586721694.7200005,E1,A,否
236,-586722036.7200005,E1,A,否
237,-591822249.620001,E1,A,否
238,-591822725.110001,E1,A,否
239,-591823085.110001,E1,A,否
240,-591823653.110001,E1,A,否
242,-591823848.110001,E1,A,否
243,-591824148.110001,E1,A,否
244,-591852178.110001,E1,A,否
245,-591854429.810001,E1,A,否
246,-591855042.810001,E1,A,否
247,-578797780.9200011,E1,A,否
248,-410655416.8700018,E1,A,否
249,-410655961.8700018,E1,A,否
250,-410656939.8700018,E1,A,否
251,-395787808.8400018,E1,A,否
252,-369798466.7600018,E1,A,否
253,-464017748.38000184,E1,A,否
254,-544567617.0100018,E1,A,否
255,-544568120.0100018,E1,A,否
256,-633554881.4800019,E1,A,否
257,-633555281.4800019,E1,A,否
258,-633555881.4800019,E1,A,否
259,-633560130.4800019,E1,A,否
260,-633560543.7400019,E1,A,否
261,-633603665.7400019,E1,A,否
262,-633605086.7400019,E1,A,否
263,-633605421.7400019,E1,A,否
264,-633605839.9200019,E1,A,否
265,-633606872.9200019,E1,A,否
266,-633607607.9200019,E1,A,否
268,-633608291.9200019,E1,A,否
269,-633608492.2200018,E1,A,否
270,-633609858.2200018,E1,A,否
271,-633610078.2200018,E1,A,否
272,-633611928.2200018,E1,A,否
273,-626453376.7300017,E1,A,否
274,-629592968.5300018,E1,A,否
275,-629600497.5300018,E1,A,否
276,-629600951.5300018,E1,A,否
278,-629601143.5300018,E1,A,否
279,-607477600.4500016,E1,A,否
280,-564458316.860002,E1,A,否
281,-521582665.6100018,E1,A,否
282,-581687009.2600017,E1,A,否
283,-547128334.2200019,E1,A,否
284,-779711680.150002,E1,A,否
286,-779714689.150002,E1,A,否
287,-779715443.130002,E1,A,否
288,-779718950.130002,E1,A,否
289,-779719148.130002,E1,A,否
290,-779722247.130002,E1,A,否
291,-779723035.880002,E1,A,否
293,-779728408.780002,E1,A,否
294,-779728608.780002,E1,A,否
295,-779729173.780002,E1,A,否
296,-779729673.780002,E1,A,否
297,-779735732.780002,E1,A,否
298,-779737135.780002,E1,A,否
299,-779738218.430002,E1,A,否
300,-779720642.570002,E1,A,否
301,-779724004.570002,E1,A,否
302,-779228188.090002,E1,A,否
304,-779228708.090002,E1,A,否
305,-779228906.090002,E1,A,否
306,-779232481.170002,E1,A,否
307,-779232821.170002,E1,A,否
308,-737358795.1700017,E1,A,否
309,-733209571.1100018,E1,A,否
310,-701481354.640002,E1,A,否
311,-689698026.3800018,E1,A,否
312,-689699911.3800018,E1,A,否
313,-689700211.3800018,E1,A,否
314,-686526075.4200019,E1,A,否
315,-731727816.5800016,E1,A,否
316,-909639299.1100017,E1,A,否
317,-983012101.3100016,E1,A,否
318,-983012301.3100016,E1,A,否
319,-983012401.3100016,E1,A,否
320,-983012739.3100016,E1,A,否
321,-983013247.1400017,E1,A,否
322,-983018871.0800017,E1,A,否
323,-983019173.0800017,E1,A,否
324,-983019776.0800017,E1,A,否
325,-983025134.0800017,E1,A,否
328,-983024483.5500016,E1,A,否
329,-983024683.5500016,E1,A,否
330,-982860495.7000015,E1,A,否
331,-982862544.7000015,E1,A,否
332,-982862669.7000015,E1,A,否
333,-982877037.7000015,E1,A,否
334,-982884957.9400015,E1,A,否
335,-982885555.9400015,E1,A,否
336,-982886075.9400015,E1,A,否
337,-982887701.9400015,E1,A,否
338,-967405287.2300016,E1,A,否
339,-964239542.2900015,E1,A,否
340,-946777977.4400016,E1,A,否
341,-946778703.4400016,E1,A,否
342,-923034191.5900012,E1,A,否
343,-894095513.0000012,E1,A,否
344,-871131640.5900011,E1,A,否
345,-1050682140.3600012,E1,A,否
346,-1310759390.720001,E1,A,否
347,-1310759688.720001,E1,A,否
348,-1310759888.720001,E1,A,否
349,-1310760349.720001,E1,A,否
350,-1310747179.030001,E1,A,否
351,-1310749923.1300008,E1,A,否
352,-1310839702.2000008,E1,A,否
353,-1310841397.2000008,E1,A,否
354,-1310842659.2000008,E1,A,否
355,-1310843725.2000008,E1,A,否
356,-1310814268.3000007,E1,A,否
357,-1310737634.7100005,E1,A,否
358,-1310741322.0900006,E1,A,否
359,-1310741822.0900006,E1,A,否
360,-1310745452.4500005,E1,A,否
361,-1310746179.4500005,E1,A,否
362,-1310746409.4500005,E1,A,否
363,-1310753408.4500005,E1,A,否
364,-1310754563.4500005,E1,A,否
365,-1310829451.4500005,E1,A,否
366,-1310829971.4500005,E1,A,否
367,-1310859274.6200004,E1,A,否
368,-1310859379.6200004,E1,A,否
369,-1310859887.6200004,E1,A,否
370,-1260299482.02,E1,A,否
371,-1254640268.1600003,E1,A,否
372,-1229905521.9100003,E1,A,否
373,-1345000898.9400003,E1,A,否
374,-1302310267.1299992,E1,A,否
376,-1302325852.1299992,E1,A,否
377,-1290474812.969999,E1,A,否
378,-1424393261.149999,E1,A,否
379,-1424393881.149999,E1,A,否
380,-1424400105.529999,E1,A,否
381,-1424402823.049999,E1,A,否
382,-1424403843.049999,E1,A,否
383,-1424420571.049999,E1,A,否
384,-1424421173.049999,E1,A,否
385,-1424421963.309999,E1,A,否
386,-1424423853.309999,E1,A,否
387,-1424330762.309999,E1,A,否
388,-1424331829.309999,E1,A,否
389,-1424333289.309999,E1,A,否
390,-1424333439.309999,E1,A,否
391,-1424330124.519999,E1,A,否
392,-1424330687.519999,E1,A,否
393,-1424330887.519999,E1,A,否
394,-1424339146.629999,E1,A,否
395,-1424341897.629999,E1,A,否
396,-1424342601.629999,E1,A,否
398,-1424306054.7399988,E1,A,否
399,-1424301884.669999,E1,A,否
400,-1406763709.8199987,E1,A,否
401,-1379129438.7299988,E1,A,否
402,-1368898337.0499988,E1,A,否
403,-1368898544.0499988,E1,A,否
404,-1368898914.0499988,E1,A,否
405,-1357442677.4399998,E1,A,否
406,-1350118350.6799996,E1,A,否
407,-1343820671.7799995,E1,A,否
408,-1446307815.3199992,E1,A,否
409,-1445490912.7099993,E1,A,否
410,-1445490977.7099993,E1,A,否
411,-1445491387.7099993,E1,A,否
412,-1445491587.7099993,E1,A,否
413,-1445595217.7099993,E1,A,否
414,-1445595656.7099993,E1,A,否
416,-1445600409.7099993,E1,A,否
417,-1445601528.7099993,E1,A,否
418,-1445601896.7099993,E1,A,否
419,-1445602176.7099993,E1,A,否
420,-1445609969.8899994,E1,A,否
421,-1445613237.3699994,E1,A,否
422,-1445632706.3699994,E1,A,否
423,-1445653740.5999994,E1,A,否
424,-1445654076.5999994,E1,A,否
425,-1445664521.5499995,E1,A,否
426,-1445674727.3899996,E1,A,否
427,-1445675227.3899996,E1,A,否
428,-1445676796.3899996,E1,A,否
429,-1443165051.0099995,E1,A,否
430,-1443167110.0099995,E1,A,否
431,-1443167733.0099995,E1,A,否
432,-1443196734.4099996,E1,A,否
433,-1443196969.4099996,E1,A,否
434,-1390463921.099999,E1,A,否
435,-1372699228.479999,E1,A,否
436,-1338105035.3499994,E1,A,否
437,-1273794488.4799995,E1,A,否
438,-1417287709.3399992,E1,A,否
439,-1439082584.209999,E1,A,否
440,-1439083959.209999,E1,A,否
441,-1439084382.209999,E1,A,否
442,-1439087579.209999,E1,A,否
443,-1439088342.209999,E1,A,否
444,-1439098303.209999,E1,A,否
445,-1439099229.209999,E1,A,否
446,-1439099429.209999,E1,A,否
447,-1439100080.209999,E1,A,否
448,-1439104329.209999,E1,A,否
449,-1439110018.209999,E1,A,否
450,-1439110518.209999,E1,A,否
452,-1439110907.209999,E1,A,否
453,-1439111738.209999,E1,A,否
454,-1439123277.3899992,E1,A,否
455,-1439124098.3899992,E1,A,否
456,-1439124893.3899992,E1,A,否
457,-1445954701.8899994,E1,A,否
458,-1446030297.8899994,E1,A,否
459,-1445449771.6099994,E1,A,否
460,-1445450428.6099994,E1,A,否
461,-1445558257.6099994,E1,A,否
462,-1445561616.6099994,E1,A,否
463,-1425981295.7699995,E1,A,否
464,-1404820332.0999994,E1,A,否
465,-1405179388.7900007,E1,A,否
466,-1389470045.8500009,E1,A,否
467,-1389470567.8500009,E1,A,否
468,-1493758792.320001,E1,A,否
469,-1605396311.780001,E1,A,否
470,-1720060880.6200008,E1,A,否
471,-1720062009.6200008,E1,A,否
472,-1720062209.6200008,E1,A,否
473,-1720063519.6200008,E1,A,否
474,-1720064004.6200008,E1,A,否
476,-1720064815.6200008,E1,A,否
478,-1720065145.6200008,E1,A,否
479,-1720065345.6200008,E1,A,否
480,-1720065705.6200008,E1,A,否
481,-1720065925.6200008,E1,A,否
483,-1720066528.6200008,E1,A,否
484,-1720066726.6200008,E1,A,否
485,-1720067197.6200008,E1,A,否
486,-1720067597.6200008,E1,A,否
487,-1720068016.6200008,E1,A,否
488,-1720068904.6200008,E1,A,否
489,-1719992418.680001,E1,A,否
490,-1719992669.680001,E1,A,否
491,-1696856047.2100008,E1,A,否
492,-1665957667.6700013,E1,A,否
493,-1594988897.1000028,E1,A,否
494,-1594989153.1000028,E1,A,否
496,-1567541703.460003,E1,A,否
497,-1536956287.460003,E1,A,否
498,-1534161919.390003,E1,A,否
499,-1600518544.040003,E1,A,否
500,-1732215709.9900033,E1,A,否
503,-1732206617.1100032,E1,A,否
504,-1732206917.1100032,E1,A,否
505,-1732209090.1100032,E1,A,否
506,-1732209335.1100032,E1,A,否
508,-1732217235.1100032,E1,A,否
510,-1727039842.1500027,E1,A,否
511,-1727040959.1900027,E1,A,否
512,-1727041395.1900027,E1,A,否
513,-1727042136.1900027,E1,A,否
514,-1726892099.1200027,E1,A,否
515,-1726892495.1200027,E1,A,否
517,-1726914915.1200027,E1,A,否
518,-1726915648.1200027,E1,A,否
519,-1726985538.1200027,E1,A,否
520,-1726986736.6100028,E1,A,否
521,-1717780807.3900027,E1,A,否
523,-1691533872.130003,E1,A,否
524,-1680463087.9100032,E1,A,否
525,-1664320215.8600042,E1,A,否
526,-1753611406.7300045,E1,A,否
527,-1745215663.3500044,E1,A,否
528,-1800023674.0400045,E1,A,否
529,-1998064202.750004,E1,A,否
530,-1998064632.750004,E1,A,否
531,-1998065011.220004,E1,A,否
532,-1998065289.220004,E1,A,否
533,-1998065969.220004,E1,A,否
534,-1998091269.220004,E1,A,否
536,-1998092025.220004,E1,A,否
537,-1998092492.220004,E1,A,否
538,-1998092692.220004,E1,A,否
539,-1998093544.220004,E1,A,否
540,-1998095748.200004,E1,A,否
541,-1998096108.200004,E1,A,否
542,-1998027042.1000042,E1,A,否
544,-1998027254.1000042,E1,A,否
545,-1998027724.0000043,E1,A,否
546,-1998038298.0000043,E1,A,否
547,-1998038663.0000043,E1,A,否
548,-1956787273.5700042,E1,A,否
549,-1956344115.3800044,E1,A,否
551,-1959945396.2900047,E1,A,否
552,-1944826684.7000048,E1,A,否
553,-1940156540.370005,E1,A,否
554,-1933461825.3100045,E1,A,否
555,-1933035193.940004,E1,A,否
556,-2033297604.950004,E1,A,否
557,-2033297690.950004,E1,A,否
558,-1999230297.2900038,E1,A,否
559,-1997674799.630004,E1,A,否
560,-1997675325.630004,E1,A,否
561,-1997675708.630004,E1,A,否
562,-1997676347.630004,E1,A,否
563,-1997677683.130004,E1,A,否
564,-1997679507.130004,E1,A,否
565,-1997679707.2200038,E1,A,否
568,-1997679907.2200038,E1,A,否
570,-1997682787.9400039,E1,A,否
571,-1997683899.9400039,E1,A,否
572,-1997685643.9400039,E1,A,否
573,-1997685858.9400039,E1,A,否
574,-1997686209.660004,E1,A,否
575,-1997686407.660004,E1,A,否
576,-1997686607.660004,E1,A,否
577,-1997689021.660004,E1,A,否
578,-1997689610.660004,E1,A,否
579,-1997690311.660004,E1,A,否
581,-1997695279.660004,E1,A,否
582,-1997697155.340004,E1,A,否
583,-1997705239.840004,E1,A,否
584,-1987706399.3500044,E1,A,否
585,-1987707372.7000043,E1,A,否
587,-1965025638.4300041,E1,A,否
588,-1965358972.990004,E1,A,否
589,-2036624643.5800042,E1,A,否
590,-2059687634.2300043,E1,A,否
592,-2059688428.2300043,E1,A,否
593,-2059689868.2300043,E1,A,否
594,-2059692066.2300043,E1,A,否
595,-2059692501.2300043,E1,A,否
596,-2059696436.2300043,E1,A,否
597,-2059696871.2300043,E1,A,否
598,-2059698158.2300043,E1,A,否
599,-2059700982.2300043,E1,A,否
600,-2059702155.3800044,E1,A,否
602,-2059703225.3800044,E1,A,否
603,-2059679675.4500046,E1,A,否
604,-2057218190.1300044,E1,A,否
605,-2057218528.1300044,E1,A,否
606,-2057218828.1300044,E1,A,否
608,-2057219763.1300044,E1,A,否
609,-2057221040.0700045,E1,A,否
610,-2057221728.0700045,E1,A,否
611,-2019561627.7700047,E1,A,否
612,-1994780165.0200045,E1,A,否
614,-1914687467.1600041,E1,A,否
615,-1875806291.5600045,E1,A,否
616,-1849087223.730005,E1,A,否
617,-1991473268.1500044,E1,A,否
618,-1963844270.3800042,E1,A,否
619,-1885615933.0300043,E1,A,否
620,-1955317283.5100043,E1,A,否
621,-2134914541.1100042,E1,A,否
622,-2134915223.1100042,E1,A,否
623,-2134963616.8900042,E1,A,否
624,-2134978196.8900042,E1,A,否
626,-2134979182.8900042,E1,A,否
628,-2134979632.690004,E1,A,否
629,-2134980837.690004,E1,A,否
630,-2134981241.690004,E1,A,否
632,-2134982884.710004,E1,A,否
633,-2134983654.710004,E1,A,否
634,-2134983893.6600041,E1,A,否
635,-2134984644.6600041,E1,A,否
636,-2134985661.6600041,E1,A,否
637,-2134986061.6600041,E1,A,否
638,-2134987578.760004,E1,A,否
639,-2134988353.460004,E1,A,否
640,-2134992111.4000041,E1,A,否
642,-2134992541.4000041,E1,A,否
643,-2134992841.4000041,E1,A,否
644,-2134944389.6000042,E1,A,否
645,-2126653549.3200042,E1,A,否
646,-2126661281.2200043,E1,A,否
647,-2097434457.7300038,E1,A,否
648,-2083621790.8400042,E1,A,否
649,-2069457042.960004,E1,A,否
650,-2160979267.7400036,E1,A,否
651,-2186554108.3300047,E1,A,否
652,-2186554413.3300047,E1,A,否
654,-2186555579.3300047,E1,A,否
656,-2186477948.8300056,E1,A,否
657,-2186477991.8100057,E1,A,否
658,-2186484971.8700056,E1,A,否
659,-2186485459.5700054,E1,A,否
660,-2186485799.5700054,E1,A,否
661,-2186487686.5700054,E1,A,否
662,-2186489564.0700054,E1,A,否
663,-2186489846.0700054,E1,A,否
664,-2186490621.0700054,E1,A,否
665,-2186493776.0700054,E1,A,否
666,-2186494186.0700054,E1,A,否
667,-2186492386.0700054,E1,A,否
669,-2186492586.0700054,E1,A,否
670,-2186493458.0700054,E1,A,否
671,-2186498430.0700054,E1,A,否
672,-2186521245.2500052,E1,A,否
673,-2186526713.520005,E1,A,否
674,-2170573363.110006,E1,A,否
675,-2132170075.4900062,E1,A,否
676,-2132170285.4900062,E1,A,否
677,-2132170773.4900062,E1,A,否
678,-2128263739.690007,E1,A,否
679,-2102269942.9300063,E1,A,否
680,-2079214214.7100065,E1,A,否
681,-2231536348.570007,E1,A,否
682,-2239669626.9500065,E1,A,否
683,-2239669851.9500065,E1,A,否
684,-2239671036.9500065,E1,A,否
685,-2239673082.9500065,E1,A,否
686,-2239673282.9500065,E1,A,否
687,-2239673852.9500065,E1,A,否
688,-2239674087.9500065,E1,A,否
689,-2239675861.9500065,E1,A,否
691,-2239676085.4500065,E1,A,否
692,-2239579217.350006,E1,A,否
693,-2239579717.350006,E1,A,否
695,-2239579917.350006,E1,A,否
696,-2238490232.1300073,E1,A,否
697,-2238490387.1300073,E1,A,否
698,-2238491470.1300073,E1,A,否
699,-2237840663.710007,E1,A,否
700,-2237842668.710007,E1,A,否
701,-2239030704.7900076,E1,A,否
702,-2238981192.9300075,E1,A,否
703,-2231800913.720008,E1,A,否
704,-2231801935.720008,E1,A,否
706,-2188143822.860009,E1,A,否
707,-2136766041.2400105,E1,A,否
708,-2115488528.7300105,E1,A,否
709,-2130287278.590011,E1,A,否
710,-2297537161.35001,E1,A,否
712,-2297541461.35001,E1,A,否
713,-2298410315.0300097,E1,A,否
714,-2298356852.7400093,E1,A,否
715,-2297635923.930009,E1,A,否
716,-2297641922.930009,E1,A,否
717,-2297642122.930009,E1,A,否
718,-2297644006.930009,E1,A,否
720,-2297647166.930009,E1,A,否
721,-2297629755.0700088,E1,A,否
722,-2295355583.020009,E1,A,否
723,-2295281025.1000094,E1,A,否
724,-2295281733.1000094,E1,A,否
725,-2295282513.1000094,E1,A,否
726,-2295282653.1000094,E1,A,否
727,-2295283018.1000094,E1,A,否
728,-2294366730.0000095,E1,A,否
729,-2294735782.0000095,E1,A,否
730,-2291975860.0900083,E1,A,否
731,-2291977450.2400084,E1,A,否
732,-2291978745.2400084,E1,A,否
733,-2291985087.2400084,E1,A,否
734,-2254096115.7500076,E1,A,否
735,-2226765901.0400047,E1,A,否
736,-2208407380.830005,E1,A,否
737,-2192021144.6800065,E1,A,否
738,-2186573128.260007,E1,A,否
739,-2186574563.260007,E1,A,否
740,-2186575154.860007,E1,A,否
741,-2350122130.8900065,E1,A,否
742,-2317741779.000006,E1,A,否
743,-2316856645.020006,E1,A,否
744,-2316857265.020006,E1,A,否
745,-2316828024.040006,E1,A,否
746,-2316828244.040006,E1,A,否
747,-2316833963.040006,E1,A,否
748,-2316834593.040006,E1,A,否
749,-2317668774.040006,E1,A,否
750,-2317670173.410006,E1,A,否
751,-2318255093.760006,E1,A,否
752,-2318259081.050006,E1,A,否
753,-2318259778.950006,E1,A,否
754,-2318260841.950006,E1,A,否
755,-2318355637.530006,E1,A,否
756,-2318356759.530006,E1,A,否
757,-2318356882.530006,E1,A,否
758,-2318371524.530006,E1,A,否
759,-2318372061.530006,E1,A,否
760,-2318372923.530006,E1,A,否
762,-2318019669.310006,E1,A,否
763,-2317982095.0200057,E1,A,否
764,-2317642730.0200057,E1,A,否
765,-2309564429.340006,E1,A,否
766,-2299755858.450006,E1,A,否
767,-2299756033.450006,E1,A,否
768,-2299759958.450006,E1,A,否
769,-2274787550.840007,E1,A,否
770,-2271986869.700007,E1,A,否
771,-2259965167.7200065,E1,A,否
772,-2402678326.1400065,E1,A,否
773,-2400426323.650007,E1,A,否
775,-2400426723.650007,E1,A,否
776,-2400427118.650007,E1,A,否
777,-2401036253.650007,E1,A,否
778,-2400160020.1900063,E1,A,否
779,-2400172406.1900063,E1,A,否
780,-2401489960.1800065,E1,A,否
781,-2401490832.1800065,E1,A,否
782,-2401491164.1800065,E1,A,否
783,-2400957303.1500063,E1,A,否
784,-2400695370.240006,E1,A,否
785,-2405797676.240006,E1,A,否
786,-2406085667.1100025,E1,A,否
790,-2405877819.3400025,E1,A,否
791,-2405865599.7300024,E1,A,否
792,-2405811831.1900024,E1,A,否
793,-2411213238.230003,E1,A,否
794,-2411214231.230003,E1,A,否
795,-2411214960.230003,E1,A,否
796,-2411215910.170003,E1,A,否
797,-2375149872.520002,E1,A,否
798,-2356765543.330002,E1,A,否
799,-2345895397.9100013,E1,A,否
800,-2339240416.3300014,E1,A,否
801,-2477993546.0700016,E1,A,否
803,-2474353541.840002,E1,A,否
804,-2462131347.1000023,E1,A,否
805,-2462131902.1000023,E1,A,否
806,-2462132090.1000023,E1,A,否
808,-2462133741.1000023,E1,A,否
809,-2462136910.1000023,E1,A,否
810,-2462138709.160002,E1,A,否
812,-2461899022.3900027,E1,A,否
813,-2461900161.3300023,E1,A,否
814,-2462053502.9900026,E1,A,否
815,-2462012732.6800027,E1,A,否
816,-2459421944.5200033,E1,A,否
818,-2459422521.510003,E1,A,否
819,-2460109700.510003,E1,A,否
820,-2460088769.5400033,E1,A,否
821,-2459670893.8900046,E1,A,否
822,-2459671293.8900046,E1,A,否
823,-2459672223.900005,E1,A,否
825,-2459672762.900005,E1,A,否
826,-2419584443.4500036,E1,A,否
827,-2390740773.6100044,E1,A,否
828,-2378779987.6300054,E1,A,否
829,-2371792861.0500064,E1,A,否
831,-2371793953.0500064,E1,A,否
832,-2359511291.220008,E1,A,否
833,-2570860973.620007,E1,A,否
834,-2540626957.590007,E1,A,否
835,-2540657903.7200065,E1,A,否
836,-2540658163.7200065,E1,A,否
837,-2540658588.7200065,E1,A,否
838,-2540659018.7200065,E1,A,否
839,-2539084818.7000055,E1,A,否
840,-2540026968.130006,E1,A,否
841,-2540027228.130006,E1,A,否
842,-2540049882.910006,E1,A,否
843,-2540051017.4400063,E1,A,否
845,-2540053077.4400063,E1,A,否
846,-2540053587.4400063,E1,A,否
847,-2540054544.4400063,E1,A,否
848,-2540056044.4400063,E1,A,否
849,-2540547121.4400063,E1,A,否
850,-2538576749.520007,E1,A,否
852,-2538577216.520007,E1,A,否
853,-2538577713.120007,E1,A,否
854,-2539157943.120007,E1,A,否
855,-2539158406.120007,E1,A,否
856,-2539158861.120007,E1,A,否
857,-2525178654.0800066,E1,A,否
858,-2525179076.4900064,E1,A,否
859,-2525224858.4900064,E1,A,否
860,-2492361720.950008,E1,A,否
861,-2478491723.060007,E1,A,否
862,-2465883438.5300045,E1,A,否
863,-2646528952.9300036,E1,A,否
864,-2645751341.280004,E1,A,否
865,-2645761865.280004,E1,A,否
866,-2645762555.320004,E1,A,否
867,-2645692333.5200043,E1,A,否
868,-2645569680.070004,E1,A,否
869,-2645726504.070004,E1,A,否
870,-2646375345.800004,E1,A,否
871,-2647048607.0000043,E1,A,否
872,-2645713607.0500045,E1,A,否
873,-2645714801.0500045,E1,A,否
874,-2645682499.060004,E1,A,否
875,-2646699801.3300047,E1,A,否
876,-2645351557.0800047,E1,A,否
877,-2646644629.040004,E1,A,否
878,-2649774823.900007,E1,A,否
879,-2649775699.900007,E1,A,否
880,-2651758563.9700065,E1,A,否
881,-2650663001.7500067,E1,A,否
882,-2646206192.8400073,E1,A,否
883,-2646613739.8500066,E1,A,否
884,-2646754808.6700068,E1,A,否
885,-2646750375.280007,E1,A,否
887,-2646751060.280007,E1,A,否
