企业代号,购方单位代号,金额,税额,价税合计,交易数
E1,B00822,23256.63,3023.37,26280.0,1
E1,B00824,24721.24,3213.76,27935.0,1
E1,B00825,37163.72,4831.28,41995.0,1
E1,B00826,30946.02,4022.98,34969.0,2
E1,B00827,16969.91,2206.09,19176.0,1
E1,B00829,30371.68,3948.32,34320.0,1
E1,B00830,553953.0800000001,72013.9,625966.98,9
E1,B00831,57529.2,7478.79,65007.99,1
E1,B00834,76865.48,9992.52,86858.0,3
E1,B00842,155861.03999999998,20261.96,176123.0,3
E1,B00844,5387.93,862.07,6250.0,1
E1,B00846,278010.35000000003,38583.65,316594.0,15
E1,B00897,15903.470000000001,2544.5300000000007,18448.0,9
E1,B00898,10151.72,1624.28,11776.0,1
E1,B00911,22594.83,3615.17,26210.0,1
E1,B00983,40214.16,5227.84,45442.0,1
E1,B01024,10137.93,1622.07,11760.0,1
E1,B01025,321582.29000000004,41805.71,363388.0,15
E1,B01026,3424133.679999999,445137.3199999999,3869271.0,39
E1,B01027,100205.31,13026.689999999999,113232.0,2
E1,B01028,208151.32,27059.68,235211.0,7
E1,B01029,2504271.68,325555.31999999995,2829827.0,26
E1,B01030,367516.81999999995,47777.18,415294.0,6
E1,B01031,265569.04,34523.96,300093.0,5
E1,B01038,28494.69,3704.31,32199.0,1
E1,B01234,2670626.1,347181.37999999995,3017807.48,6
E1,B01297,10897.45,1852.5500000000002,12750.0,2
E1,B01650,10484043.649999997,1614198.2900000003,12098241.939999998,38
E1,B01675,11880.34,2019.66,13900.0,1
E1,B02140,10407.08,1352.92,11760.0,1
E1,B02153,7890273.010000001,1214243.0599999998,9104516.07,38
E1,B02311,944858.12,160625.88,1105484.0,8
E1,B02314,20295092.31,3192541.270000001,23487633.58,55
E1,B02319,38537031.989999995,6088525.4,44625557.39,60
E1,B02321,18275.86,2924.14,21200.0,1
E1,B02335,863242.48,130534.32,993776.8,16
E1,B02454,6924728.44,1037254.8299999998,7961983.2700000005,18
E1,B02641,15211143.790000001,2330803.210000001,17541947.0,28
E1,B02671,37509.73,4876.27,42386.0,4
E1,B02705,17513755.1,2412421.4000000004,19926176.5,28
E1,B02777,3178230.3399999994,422224.75999999995,3600455.1,14
E1,B02814,25694.69,3340.31,29035.0,1
E1,B02826,654144.8600000001,99446.14000000003,753591.0,79
E1,B02827,16485.47,2802.5299999999997,19288.0,2
E1,B02828,2297.44,390.56,2688.0,1
E1,B02831,8280.34,1407.66,9688.0,1
E1,B02856,4102.56,697.44,4800.0,1
E1,B02916,4266682.799999999,639660.8,4906343.600000001,14
E1,B03099,6176942.44,920695.0600000002,7097637.5,22
E1,B03176,9125855.690000001,1418943.6200000003,10544799.31,21
E1,B03177,3822697.0300000003,607615.2799999999,4430312.31,8
E1,B03199,38100167.8,5788081.33,43888249.129999995,65
E1,B03225,107075790.49000001,16579082.879999997,123654873.36999999,135
E1,B03234,11663556.99,1643167.0099999998,13306724.0,17
E1,B03268,18756791.300000004,2945564.5699999994,21702355.869999997,27
E1,B03289,4273.5,726.5,5000.0,1
E1,B03323,1593104.51,251787.69,1844892.2,6
E1,B03348,1152783.78,168678.22,1321462.0,15
E1,B03376,239173.84000000003,31092.53,270266.37,2
E1,B03377,73097.35,9502.65,82600.0,1
E1,B03378,23218.510000000002,3473.49,26692.0,5
E1,B03446,4634.48,741.52,5376.0,3
E1,B03455,13984686.98,2188430.21,16173117.19,29
E1,B03516,59140586.279999994,9021347.950000001,68161934.23,84
E1,B03518,67118009.78999999,9823415.419999998,76941425.21000001,86
E1,B03531,8145777.119999999,1242925.53,9388702.65,26
E1,B03535,4009555.4200000004,611447.5800000001,4621003.0,28
E1,B03581,2380.53,309.47,2690.0,1
E1,B03582,40925.36,6002.64,46928.0,4
E1,B03590,29784.479999999996,4765.52,34550.0,2
E1,B03622,5673102.419999999,927503.58,6600606.0,11
E1,B03623,5844.83,935.17,6780.0,1
E1,B03643,2380.53,309.47,2690.0,1
E1,B03659,378943.6,64420.399999999994,443364.0,4
E1,B03660,7521.37,1278.63,8800.0,1
E1,B03661,19094.14,3203.86,22298.0,2
E1,B03669,5982.91,1017.09,7000.0,1
E1,B03691,6747.84,1079.66,7827.5,1
E1,B03700,13903.45,2224.55,16128.0,1
E1,B03701,1709.4,290.6,2000.0,2
E1,B03704,24495.57,3184.43,27680.0,2
E1,B03708,13712.82,2331.18,16044.0,3
E1,B03710,99391.06,16350.939999999999,115742.0,2
E1,B03711,5032.48,855.52,5888.0,1
E1,B03715,22188.03,3771.97,25960.0,2
E1,B03729,22793.1,3646.9,26440.0,1
E1,B03742,44821.22,2689.27,47510.49,1
E1,B03757,11247.86,1912.14,13160.0,1
E1,B03806,10993.17,1868.83,12862.0,2
E1,B03872,4847347.7,739904.9299999998,5587252.63,22
E1,B03907,2135431.87,277606.13,2413038.0,4
E1,B03970,6179045.099999999,850748.5599999999,7029793.66,23
E1,B04023,176398.29,29987.71,206386.0,1
E1,B04130,20598719.760000005,3229180.7800000003,23827900.54,36
E1,B04143,20341485.460000005,3079997.05,23421482.51,33
E1,B04145,5918202.180000001,947516.42,6865718.6,15
E1,B04185,1305455.2200000002,193071.28999999998,1498526.51,10
E1,B04225,17145902.759999998,2601448.4199999995,19747351.18,37
E1,B04321,1293.1,206.9,1500.0,1
E1,B04327,48050.44,6246.5599999999995,54297.0,2
E1,B04328,5032.48,855.52,5888.0,1
E1,B04330,10137.93,1622.07,11760.0,1
E1,B04332,1897.44,322.56,2220.0,1
E1,B04334,13231.03,2116.97,15348.0,1
E1,B04336,42836.78,2570.21,45406.99,1
E1,B04337,29172.41,4667.59,33840.0,3
E1,B04338,27948.28,4471.719999999999,32420.0,2
E1,B04343,45827.59,7332.41,53160.0,1
E1,B04348,3431.03,548.97,3980.0,1
E1,B04374,19775.86,3164.14,22940.0,1
E1,B04381,47506.9,7601.1,55108.0,1
E1,B04382,22460.18,2919.82,25380.0,1
E1,B04475,10732.76,1717.24,12450.0,1
E1,B04595,6451826.259999999,1002759.6299999999,7454585.89,27
E1,B04644,12241.38,1958.62,14200.0,1
E1,B04669,94618.59,12300.41,106919.0,2
E1,B04855,5534378.19,874954.1099999999,6409332.3,20
E1,B07545,6341.88,1078.12,7420.0,1
E1,B07550,324316041.25,51493070.95000002,375809112.20000005,363
E1,B07646,2380.53,309.47,2690.0,1
E1,B07664,176946.90000000002,23003.1,199950.0,2
E1,B07928,275804801.72999984,43828980.340000026,319633782.06999993,313
E1,B07993,2211684.32,346199.16,2557883.48,15
E1,B08052,406489910.50000024,64570541.39000001,471060451.8899999,440
E1,B08065,1831805.18,277212.2200000001,2109017.4,19
E1,B08072,6138795.850000001,897554.1000000001,7036349.949999999,20
E1,B08074,8175798.619999998,1257529.8200000003,9433328.440000001,28
E1,B08109,3947554.51,513182.15,4460736.66,6
E1,B08119,4260177.699999999,688778.08,4948955.78,16
E1,B08203,1904620.8699999996,256269.51999999996,2160890.39,28
E1,B08222,19815576.18,3052325.6,22867901.779999997,34
E1,B08225,6158079.760000001,935527.71,7093607.47,27
E1,B08282,167233.63,21740.37,188974.0,1
E1,B08297,2231695.0500000003,345034.49000000005,2576729.54,10
E1,B08299,9038332.11,1376234.01,10414566.12,29
E1,B08300,2343562.2499999995,347936.8599999999,2691499.11,36
E1,B08305,3588711.2699999996,528869.09,4117580.36,26
E1,B08322,656766.35,101232.25,757998.6,15
E1,B08335,51646.17,8779.83,60426.0,1
E1,B08356,11347504.280000001,1751493.3099999998,13098997.59,30
E1,B08362,18112298.44,2773747.0300000007,20886045.470000003,36
E1,B08371,38477.87,5002.13,43480.0,1
E1,B08374,5285675.99,800672.3099999999,6086348.3,26
E1,B08389,1823195.6500000001,237015.44999999998,2060211.1,6
E1,B08393,15311670.79,2319257.22,17630928.009999998,33
E1,B08395,3815743.87,585571.43,4401315.3,9
E1,B08397,24391183.339999996,3906425.5400000005,28297608.88,35
E1,B08399,2254254.48,377042.52,2631297.0,11
E1,B08423,2313787.18,316481.66,2630268.84,9
E1,B08468,10723298.98,1633577.5399999996,12356876.52,15
E1,B08483,18944217.849999998,2799405.0900000012,21743622.94,36
E1,B08497,8943483.46,1335151.0500000003,10278634.510000002,50
E1,B08506,4843112.600000001,708245.2300000001,5551357.829999999,20
E1,B08528,9794311.149999999,1499547.2499999995,11293858.4,18
E1,B08532,10163273.2,1541665.0999999999,11704938.3,18
E1,B08560,5607020.81,870687.9900000002,6477708.8,33
E1,B08626,30530.98,3969.02,34500.0,1
E1,B08632,685252.99,116493.01,801746.0,5
E1,B08636,1496806.2299999997,217994.52,1714800.75,11
E1,B08681,14370203.260000004,2178078.2399999993,16548281.5,45
E1,B08713,396323.44,51522.06,447845.5,3
E1,B08731,53597952.97999998,8345221.679999999,61943174.66000001,136
E1,B08742,8730144.040000001,1370914.6800000002,10101058.719999999,24
E1,B08774,212081137.48,32410061.109999985,244491198.59,292
E1,B08782,23310618.8,3582571.9,26893190.7,62
E1,B08805,3735978.3200000008,605621.88,4341600.2,25
E1,B08829,1404027.6500000001,218469.05,1622496.7,9
E1,B08830,97187.79,12634.41,109822.2,1
E1,B08857,19490703.650000002,2983302.9699999997,22474006.62,61
E1,B08890,2232418.65,351161.52999999997,2583580.1799999997,14
E1,B08909,6351287.559999999,1027752.55,7379040.11,13
E1,B09126,3712093.1600000006,559888.74,4271981.9,31
E1,B09138,7844996.39,1211222.8099999998,9056219.200000001,25
E1,B09139,1609090.28,221401.87999999998,1830492.16,8
E1,B09146,9401020.05,1557611.9499999997,10958632.0,21
E1,B09197,1413477.0099999998,238229.75,1651706.76,6
E1,B09211,8545627.950000001,1314041.6500000001,9859669.6,15
E1,B09214,523615.92000000004,68070.08,591686.0,6
E1,B09246,602478.8399999999,92713.15999999997,695192.0,16
E1,B09288,7118759.579999999,1151898.6400000004,8270658.22,25
E1,B09291,910800.7199999999,152979.28000000003,1063780.0,9
E1,B09292,7389723.320000001,1220437.68,8610161.0,18
E1,B09318,6680010.159999999,891911.71,7571921.870000001,16
E1,B09325,831784.57,141403.43,973188.0,6
E1,B09326,339785.44,57763.56,397549.0,2
E1,B09332,12014712.82,1810118.3000000003,13824831.12,35
E1,B09352,5799047.16,788587.6800000002,6587634.84,24
E1,B09365,338074.17999999993,50228.31999999999,388302.5,4
E1,B09377,11596112.04,1804085.82,13400197.860000001,29
E1,B09436,3830143.979999999,572964.12,4403108.1,19
E1,B09439,284558.81999999995,36992.68,321551.5,4
E1,B09440,8417874.09,1261285.51,9679159.6,30
E1,B09479,7745304.320000001,1205007.5799999998,8950311.899999999,26
E1,B09492,51921210.15,7920463.349999999,59841673.500000015,72
E1,B09529,3377836.5399999996,507154.95999999996,3884991.5,24
E1,B09539,21105812.619999997,3249688.4299999997,24355501.05,38
E1,B09596,6409634.24,1000720.05,7410354.289999999,28
E1,B09647,2061645.4999999998,318868.0,2380513.5,5
E1,B09724,4374319.5,673717.58,5048037.079999999,29
E1,B09739,5365972.45,842660.6499999999,6208633.100000001,24
E1,B09829,10963187.14,1735775.9000000004,12698963.040000001,24
E1,B09876,8499928.260000002,1343527.9499999997,9843456.209999999,23
E1,B09910,716486.14,120086.86,836573.0,11
E1,B09944,12293758.24,1891284.37,14185042.610000001,31
E1,B09945,558436047.259999,87413992.42999999,645850039.69,897
E1,B09989,968214.66,154914.34,1123129.0,1
E1,B10003,5759802.1,878543.4300000003,6638345.53,28
E1,B10004,11592.03,1506.97,13099.0,1
E1,B10033,1642111.0999999999,213474.4,1855585.5,6
E1,B10034,2384574.12,349930.76,2734504.88,13
E1,B10038,4087109.3200000003,623647.7300000001,4710757.05,20
E1,B10044,3195204.98,507841.51999999996,3703046.5,25
E1,B10065,11644586.200000001,1829504.2099999997,13474090.41,30
E1,B10071,2108135.34,294068.16,2402203.5,11
E1,B10089,22799603.03999999,3679796.84,26479399.88,36
E1,B10091,44210037.069999985,6811436.169999999,51021473.24,149
E1,B10093,12390017.43,1954363.6600000001,14344381.09,51
E1,B10103,3297770.53,519881.5800000001,3817652.11,40
E1,B10108,5136.75,873.25,6010.0,1
E1,B10115,3896.55,623.45,4520.0,1
E1,B10149,7559635.43,1191339.6700000002,8750975.1,31
E1,B10151,4422412.59,716013.4099999999,5138426.0,24
E1,B10183,7217923.28,1107715.1200000003,8325638.4,30
E1,B10196,24719593.579999994,3831066.639999999,28550660.22,37
E1,B10205,17715.52,2834.48,20550.0,1
E1,B10281,289586.0,38182.8,327768.8,3
E1,B10284,2919.47,379.53,3299.0,1
E1,B10302,14605010.659999998,2387018.34,16992029.0,29
E1,B10359,14003961.55,2147927.6600000006,16151889.21,34
E1,B10361,73017772.00000004,10757387.299999995,83775159.3,96
E1,B10400,3794.88,645.12,4440.0,2
E1,B10401,41702.56,7089.44,48792.0,1
E1,B10453,-32172.05999999999,-5975.94,-38148.0,7
E1,B10763,9872640.57,1507701.3399999996,11380341.910000002,31
E1,B11078,-12307.69,-2092.31,-14400.0,1
E1,B11271,10524533.62,1734726.3800000001,12259260.0,16
E1,B11280,58141.6,7558.400000000001,65700.0,2
E1,B11364,3171256.63,412263.37000000005,3583520.0,4
E1,B11365,368524.52,58274.78,426799.3,4
E1,B11371,3628033.4400000004,471644.33,4099677.7700000005,11
E1,B11464,5240859.679999999,864798.32,6105658.0,20
E1,B11613,37141.59,4828.41,41970.0,1
E1,B11701,21115.05,2744.95,23860.0,1
E1,B11705,6637.17,862.83,7500.0,1
E1,B11768,13716.81,1783.19,15500.0,1
E1,B11922,515814577.48999983,81988031.63000001,597802609.1200001,555
E1,B11925,42201692.27000001,6233128.280000001,48434820.55000001,101
E1,B12035,1470291.31,229194.48999999993,1699485.7999999998,21
E1,B12148,4085.47,694.53,4780.0,1
E1,B12226,2380.53,309.47,2690.0,1
E1,B12393,22612179.849999994,3165703.31,25777883.160000004,51
E1,B12395,382130.17000000004,57264.83,439395.0,18
E1,B12402,4213.79,674.21,4888.0,1
E1,B12403,360839.81999999995,46909.18,407749.0,14
E1,B12409,1185942.1300000001,199891.87,1385834.0,33
E1,B12496,146176.07,24849.93,171026.0,2
E1,B12520,1386553.4400000002,204613.56000000003,1591167.0,15
E1,B12568,19490636.970000003,2899451.63,22390088.6,32
E1,B12577,20512.82,3487.18,24000.0,1
E1,B12755,343500.87000000005,58395.130000000005,401896.0,5
E1,B12757,5075.86,812.14,5888.0,1
E1,B12801,124510217.64999998,19488055.709999997,143998273.35999998,150
E1,B12907,0.0,0.0,0.0,2
E1,B12928,3870437.9000000004,590968.9900000001,4461406.89,20
E1,B12971,7256.64,943.36,8200.0,1
E1,B12993,661164.9199999999,112398.08,773563.0,3
E1,B13009,175647.86,29860.14,205508.0,3
E1,B13019,6093505.73,933583.7299999997,7027089.46,37
E1,B13211,1900492.0499999998,247063.95,2147556.0,2
E1,B13275,29866.28,4283.719999999999,34150.0,2
E1,B13381,10112.07,1617.93,11730.0,1
E1,B13399,1701407.1800000002,259274.11999999994,1960681.3,23
E1,B13640,418941.58999999997,54462.41,473404.0,5
E1,B13743,32871039.860000007,5364666.140000001,38235706.0,62
E1,B13772,2465758.08,375850.7,2841608.7800000003,27
E1,B13782,6495.72,1104.28,7600.0,1
E1,B13832,6951.72,1112.28,8064.0,1
E1,B13883,7256.64,943.36,8200.0,1
E1,B13886,9573403.840000002,1466267.6600000001,11039671.5,24
E1,B13906,9812530.639999999,1619902.4099999997,11432433.05,28
E1,B13907,2179.49,370.51,2550.0,1
E1,B13908,2564.1,435.9,3000.0,1
E1,B13909,2051.72,328.28,2380.0,1
E1,B13910,16034.48,2565.52,18600.0,1
E1,B13911,4827.59,772.41,5600.0,1
E1,B13911,3017.24,482.76,3500.0,1
