企业代号,额度,预期收益,年利率
E406,135525,4588.531652513,0.0465
E407,350377,13056.789472885324,0.0665
E408,43794,1592.0841646296662,0.0585
E409,26751,970.1453005954171,0.0545
E410,40438,1463.2975112491383,0.0505
E412,2720,98.63969537707632,0.0585
E413,80457,2921.823999100771,0.0665
E416,10934,412.9472598543161,0.0585
E417,5933,219.61550514558533,0.0585
E418,16755,611.5107956259939,0.0625
E422,7617,269.23532112961044,0.0625
